2 Wahlen zum Abgeordnetenhaus von Berlin und zu den Bezirksverordnetenversammlungen;;;;;;;;;;;;;;;;;;;;;;;;
"2.5  Mandate für das Abgeordnetenhaus von Berlin nach der Wahl am 26. September 2021¹
        nach Bezirken und Parteien";;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;
Bezirk;Mandate;;;;;;;Darunter;;;;;;;;;;;;;;;;
;"ins-
ge-
samt";SPD;CDU;"GRÜ-
NE";DIE LINKE;AfD;FDP;"Überhang-
mandate";;Ausgleichsmandate;;;;;;;;;;;;;;
;;;;;;;;SPD;CDU;CDU;"GRÜ-
NE";DIE LINKE;AfD;FDP;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Mitte;  9;  2;  1;  5;–;–;  1;–;–;x;x;x;x;–;;;;;;;;;;
Friedrichshain-Kreuzberg;  9;  2;  1;  5;  1;–;–;–;–;x;x;x;x;–;;;;;;;;;;
Pankow;  11;  3;  2;  5;–;–;  1;–;–;x;x;x;x;–;;;;;;;;;;
Charlottenburg-Wilmersdorf;  10;  3;  3;  3;–;–;  1;–;–;x;x;x;x;–;;;;;;;;;;
Spandau;  6;  3;  2;–;–;–;  1;  1;–;x;x;x;x;–;;;;;;;;;;
Steglitz-Zehlendorf;  11;  3;  5;  1;–;–;  2;–;  1;x;x;x;x;  1;;;;;;;;;;
Tempelhof-Schöneberg;  10;  3;  3;  3;–;–;  1;–;–;x;x;x;x;–;;;;;;;;;;
Neukölln;  9;  4;  2;  2;–;–;  1;  1;–;x;x;x;x;  1;;;;;;;;;;
Treptow-Köpenick;  9;  5;  2;–;  1;–;  1;  2;–;x;x;x;x;–;;;;;;;;;;
Marzahn-Hellersdorf;  9;  2;  3;–;  1;  2;  1;–;  1;x;x;x;x;–;;;;;;;;;;
Lichtenberg;  9;  3;  2;–;  3;–;  1;–;–;x;x;x;x;–;;;;;;;;;;
Reinickendorf;  8;  3;  4;–;–;–;  1;–;  1;x;x;x;x;–;;;;;;;;;;
Landesliste ²;  37;x;x;  8;  18;  11;x;x;x;x;  4;  3;  1;x;;;;;;;;;;
Berlin;  147;  36;  30;  32;  24;  13;  12;  4;  3;x;  4;  3;  1;  2;;;;;;;;;;
_____;;;;;;;;;;;;;;;;;;;;;;;;
1 Hauptwahl am 26. September 2021 durch Urteil des Landesverfassungsgerichtshofs für ungültig erklärt;;;;;;;;;;;;;;;;;;;;;;;;
2 Bei Landeslisten ist keine bezirkliche Zuordnung möglich;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
"2.6 Zweitstimmenanteile ausgewählter Parteien bei den Wahlen
       zum Abgeordnetenhaus von Berlin 1990 bis 2021";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Stimmanteile 1990-2021;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Jahr;SPD;CDU;DIE LINKE ;GRÜNE;FDP;AfD;
;;;;;;;;;;;;;;;;;1990;30,4;40,4;9,2;9,4;7,1;;
;;;;;;;;;;;;;;;;;1995;23,6;37,4;14,6;13,2;2,5;;
;;;;;;;;;;;;;;;;;1999;22,4;40,8;17,7;9,9;2,2;;
;;;;;;;;;;;;;;;;;2001;29,7;23,8;22,6;9,1;9,9;;
;;;;;;;;;;;;;;;;;2006;30,8;21,3;13,4;13,1;7,6;;
;;;;;;;;;;;;;;;;;2011;28,3;23,3;11,7;17,6;1,8;;
;;;;;;;;;;;;;;;;;2016;21,6;17,6;15,6;15,2;6,7;14,2;
;;;;;;;;;;;;;;;;;2021;21,4;18;14,1;18,9;7,1;8;
