2 Wahlen zum Abgeordnetenhaus von Berlin und zu den Bezirksverordnetenversammlungen;;;;;;;;;;;;;;;;;;
"2.1  Ergebnis der Wahl zum Abgeordnetenhaus von Berlin am 26. September 2021¹ nach Bezirken
       – Erststimmen  –";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Bezirk;"Wahlbe-
rechtigte";Wählende;"Wahl-
beteili-
gung";"Gültige 
Erst-
stimmen";SPD;CDU;GRÜNE;DIE LINKE;AfD;FDP;"Sons-
tige";;;;;;;
;;;;;;;;;;;;;;;;;;
;Anzahl;;%;Anzahl;%;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mitte; 204 255; 150 329;  73,6; 147 988;  21,2;  13,3;  29,3;  17,2;  5,0;  7,0;  6,9;;;;;;;
Friedrichshain-Kreuzberg; 168 102; 132 435;  78,8; 130 559;  16,9;  8,2;  35,4;  22,8;  3,2;  4,7;  8,9;;;;;;;
Pankow; 282 096; 221 060;  78,4; 218 053;  20,3;  13,8;  24,7;  18,4;  8,0;  5,6;  9,2;;;;;;;
Charlottenburg-Wilmersdorf; 215 247; 168 907;  78,5; 165 845;  24,8;  23,1;  24,1;  7,3;  4,6;  9,4;  6,7;;;;;;;
Spandau; 158 696; 112 059;  70,6; 109 083;  28,7;  27,7;  11,5;  5,4;  10,2;  7,5;  9,1;;;;;;;
Steglitz-Zehlendorf; 215 825; 175 969;  81,5; 172 385;  24,0;  28,1;  21,6;  4,9;  5,1;  9,4;  6,8;;;;;;;
Tempelhof-Schöneberg; 229 605; 176 776;  77,0; 173 866;  26,1;  22,0;  23,2;  8,4;  5,8;  6,9;  7,6;;;;;;;
Neukölln; 195 615; 138 938;  71,0; 136 131;  28,5;  18,2;  18,4;  15,3;  7,2;  5,1;  7,3;;;;;;;
Treptow-Köpenick; 205 948; 158 149;  76,8; 155 178;  24,8;  14,7;  12,9;  19,3;  12,1;  6,1;  10,2;;;;;;;
Marzahn-Hellersdorf; 197 241; 136 667;  69,3; 133 224;  19,2;  24,4;  6,7;  19,2;  16,4;  4,9;  9,3;;;;;;;
Lichtenberg; 199 563; 145 072;  72,7; 141 770;  21,8;  15,5;  12,7;  23,6;  12,0;  4,4;  9,9;;;;;;;
Reinickendorf; 175 407; 127 917;  72,9; 125 404;  25,7;  30,3;  13,0;  4,9;  9,5;  7,3;  9,3;;;;;;;
Berlin;2 447 600;1 844 278;  75,4;1 809 486;  23,4;  19,7;  20,0;  14,0;  8,1;  6,6;  8,4;;;;;;;
;;;;;;;;;;;;;;;;;;
"2.2 Ergebnis der Wahl zum Abgeordnetenhaus von Berlin am 26. September 2021¹ nach Bezirken 
       – Zweitstimmen  –";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Bezirk;"Wahlbe-
rechtigte";Wählende;"Wahl-
beteili-
gung";"Gültige 
Zweit-
stimmen";SPD;CDU;GRÜNE;DIE LINKE;AfD;FDP;"Sons-
tige";;;;;;;
;;;;;;;;;;;;;;;;;;
;Anzahl;;%;Anzahl;%;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mitte; 204 255; 150 329;  73,6; 148 699;  18,8;  12,3;  26,2;  17,5;  4,9;  7,1;  13,1;;;;;;;
Friedrichshain-Kreuzberg; 168 102; 132 435;  78,8; 131 090;  15,1;  7,6;  32,3;  23,6;  3,1;  4,8;  13,5;;;;;;;
Pankow; 282 096; 221 060;  78,4; 219 257;  18,4;  12,7;  23,3;  18,6;  7,9;  6,1;  13,0;;;;;;;
Charlottenburg-Wilmersdorf; 215 247; 168 907;  78,5; 166 529;  22,6;  21,0;  22,7;  8,6;  4,8;  10,4;  9,9;;;;;;;
Spandau; 158 696; 112 059;  70,6; 109 834;  25,7;  26,6;  11,6;  5,6;  10,0;  7,8;  12,8;;;;;;;
Steglitz-Zehlendorf; 215 825; 175 969;  81,5; 174 337;  22,7;  25,4;  19,8;  6,2;  5,3;  11,0;  9,7;;;;;;;
Tempelhof-Schöneberg; 229 605; 176 776;  77,0; 174 819;  22,6;  20,6;  22,0;  9,7;  5,8;  7,3;  11,8;;;;;;;
Neukölln; 195 615; 138 938;  71,0; 136 938;  27,2;  16,2;  17,6;  14,3;  7,0;  5,1;  12,5;;;;;;;
Treptow-Köpenick; 205 948; 158 149;  76,8; 156 264;  21,6;  14,2;  13,0;  18,7;  11,9;  6,6;  13,9;;;;;;;
Marzahn-Hellersdorf; 197 241; 136 667;  69,3; 134 841;  19,7;  20,9;  6,7;  17,9;  16,2;  5,2;  13,4;;;;;;;
Lichtenberg; 199 563; 145 072;  72,7; 142 844;  21,1;  13,9;  12,3;  21,0;  11,8;  5,4;  14,4;;;;;;;
Reinickendorf; 175 407; 127 917;  72,9; 126 212;  23,5;  28,3;  13,3;  5,4;  9,3;  8,0;  12,3;;;;;;;
Berlin;2 447 600;1 844 278;  75,4;1 821 664;  21,4;  18,0;  18,9;  14,1;  8,0;  7,1;  12,5;;;;;;;
_____;;;;;;;;;;;;;;;;;;
1 Hauptwahl am 26. September 2021 durch Urteil des Landesverfassungsgerichtshofs für ungültig erklärt;;;;;;;;;;;;;;;;;;
