"3  Eheschließungen, Lebendgeborene und Gestorbene in Berlin im September 2023¹ 
    nach Bezirken, Monaten, Staatsangehörigkeit und Geschlecht";;;;;;;;;;;;
;;;;;;;;;;;;
"Bezirk
—
Monat
—
Staatsangehörigkeit";"Ehe-
schlie-
ßungen";Lebendgeborene;;;;Gestorbene;;;;;;
;;"ins-
gesamt";männlich;weiblich;"darunter Eltern nicht
miteinander
verheiratet";"ins-
gesamt";männlich;weiblich;;;;
;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;
Mitte;79;316;171;145;130;188;98;90;;;;
Friedrichshain-Kreuzberg;79;199;100;99;96;123;62;61;;;;
Pankow;141;305;136;169;156;252;141;111;;;;
Charlottenburg-Wilmersdorf;201;244;119;125;106;275;132;143;;;;
Spandau;57;201;101;100;90;199;92;107;;;;
Steglitz-Zehlendorf;94;202;110;92;75;283;125;158;;;;
Tempelhof-Schöneberg;223;252;132;120;105;262;136;126;;;;
Neukölln;142;243;107;136;99;254;134;120;;;;
Treptow-Köpenick;75;216;102;114;109;240;114;126;;;;
Marzahn-Hellersdorf;5;213;98;115;120;173;88;85;;;;
Lichtenberg;65;218;116;102;126;219;114;105;;;;
Reinickendorf;105;209;109;100;83;259;124;135;;;;
Berlin²;1.267;2.818;1.401;1.417;1.295;2.727;1.360;1.367;;;;
;;;;;;;;;;;;
;Monate;;;;;;;;;;;
Januar;425;2.239;1.140;1.099;971;2.965;1.439;1.526;;;;
Februar;552;2.714;1.382;1.332;1.305;3.371;1.689;1.682;;;;
März;771;2.715;1.403;1.312;1.239;3.370;1.667;1.703;;;;
April;746;2.711;1.427;1.284;1.232;3.133;1.576;1.557;;;;
Mai;1.116;2.864;1.488;1.376;1.315;3.229;1.685;1.544;;;;
Juni;1.352;3.052;1.561;1.491;1.357;3.032;1.562;1.470;;;;
Juli;1.176;3.066;1.539;1.527;1.419;3.048;1.527;1.521;;;;
August;1.191;2.889;1.511;1.378;1.309;2.869;1.403;1.466;;;;
September;1.267;2.818;1.401;1.417;1.295;2.727;1.360;1.367;;;;
Oktober;;;;;;;;;;;;
November;;;;;;;;;;;;
Dezember;;;;;;;;;;;;
;;;;;;;;;;;;
;Ausländer;;;;;;;;;;;
Januar;x;359;175;184;126;147;80;67;;;;
Februar;x;650;330;320;311;184;107;77;;;;
März;x;616;302;314;283;179;100;79;;;;
April;x;548;288;260;263;192;116;76;;;;
Mai;x;635;315;320;297;212;129;83;;;;
Juni;x;700;340;360;330;198;124;74;;;;
Juli;x;619;318;301;284;174;90;84;;;;
August;x;603;320;283;275;175;104;71;;;;
September;x;591;292;299;272;185;107;78;;;;
Oktober;;;;;;;;;;;;
November;;;;;;;;;;;;
Dezember;;;;;;;;;;;;
_____;;;;;;;;;;;;
"1 ermittelt aus den im Berichtsmonat beurkundeten Eheschließungen, Geburten und Sterbefällen; vorläufige Angaben";;;;;;;;;;;;
2 einschl. Standesamt I in Berlin;;;;;;;;;;;;
