"7.3  Bevölkerung im Land Berlin 2022 im Alter von 15 bis unter 65 Jahren 
       nach Bezirken,  Erwerbsbeteiligung und Geschlecht";;;;;;
;;;;;;
Bezirk;Bevölkerung;Erwerbspersonen;;;Nichterwerbs-personen;
;;zusammen;Erwerbstätige;Erwerbslose;;
;1 000;;;;;
;;;;;;
;Insgesamt;;;;;
Land Berlin                      ;2.454,3;1.944,1;1.848,7;95,3;510,2;
  Mitte                     ;283,2;224,4;211,7;12,7;58,8;
  Friedrichshain-Kreuzberg  ;217,3;178,8;169,3;/;38,5;
  Pankow                    ;285,4;243,9;237,0;/;41,5;
  Charlottenburg-Wilmersdorf;197,7;161,6;154,8;/;36,0;
  Spandau                   ;152,6;117,1;106,9;/;35,5;
  Steglitz-Zehlendorf       ;189,3;147,1;142,9;/;42,2;
  Tempelhof-Schöneberg      ;215,5;171,2;162,5;/;44,3;
  Neukölln                  ;212,4;153,3;139,0;14,3;59,1;
  Treptow-Köpenick          ;178,0;142,0;137,6;/;36,0;
  Marzahn-Hellersdorf       ;168,2;128,8;123,8;/;39,4;
  Lichtenberg               ;192,1;152,6;146,3;/;39,4;
  Reinickendorf             ;162,6;123,1;116,9;/;39,4;
;;;;;;
Männlich                  ;1.228,2;1.016,1;965,1;51,0;212,2;
  Mitte                     ;147,0;123,0;116,5;/;24,0;
  Friedrichshain-Kreuzberg  ;113,6;97,0;91,3;/;16,6;
  Pankow                    ;141,5;125,3;122,1;/;16,2;
  Charlottenburg-Wilmersdorf;95,2;78,8;76,1;/;16,4;
  Spandau                   ;77,1;61,0;56,7;/;16,1;
  Steglitz-Zehlendorf       ;89,2;70,9;68,4;/;18,3;
  Tempelhof-Schöneberg      ;106,1;87,3;82,4;/;18,8;
  Neukölln                  ;106,4;82,4;73,6;/;24,0;
  Treptow-Köpenick          ;88,8;72,7;70,5;/;16,1;
  Marzahn-Hellersdorf       ;83,8;69,7;66,1;/;14,1;
  Lichtenberg               ;99,6;84,1;80,9;/;15,6;
  Reinickendorf             ;79,9;63,8;60,5;/;16,1;
;;;;;;
Weiblich                  ;1.226,1;928,0;883,6;44,4;298,1;
  Mitte                     ;136,2;101,4;95,2;/;34,8;
  Friedrichshain-Kreuzberg  ;103,7;81,8;78,0;/;21,9;
  Pankow                    ;143,9;118,6;114,9;/;25,3;
  Charlottenburg-Wilmersdorf;102,5;82,8;78,7;/;19,7;
  Spandau                   ;75,5;56,1;50,2;/;19,4;
  Steglitz-Zehlendorf       ;100,1;76,2;74,5;/;23,9;
  Tempelhof-Schöneberg      ;109,3;83,8;80,1;/;25,5;
  Neukölln                  ;106,0;70,9;65,4;/;35,1;
  Treptow-Köpenick          ;89,3;69,3;67,1;/;20,0;
  Marzahn-Hellersdorf       ;84,4;59,1;57,7;/;25,3;
  Lichtenberg               ;92,4;68,5;65,4;/;23,9;
  Reinickendorf             ;82,7;59,3;56,4;/;23,4;
_____;;;;;;
Ergebnisse des Mikrozensus - Bevölkerung in Hauptwohnsitzhaushalten — 2022 (Erstergebnis);;;;;;
Falls Personen keine Angabe gemacht haben, wurden sie der „Insgesamt“-Kategorie zugewiesen.;;;;;;
