"7.7   Familien mit Kindern unter 18 Jahren im Land Berlin 2022
         nach Bezirken und Familienform";;;;;;
;;;;;;
Bezirk;Familien mit Kindern unter 18 Jahren;;;;;
;insgesamt;Ehepaare;"Lebens-
gemein-
schaften";Alleinerziehende;;
;;;;zusammen;"dar. allein-
erziehende Mütter";
;1 000;;;;;
;;;;;;
Land Berlin                      ;386,4;232,5;66,7;87,2;71,0;
  Mitte                     ;39,7;26,3;/;/;/;
  Friedrichshain-Kreuzberg  ;30,2;17,2;/;/;/;
  Pankow                    ;53,0;30,7;8,8;13,5;10,1;
  Charlottenburg-Wilmersdorf;29,4;20,0;/;/;/;
  Spandau                   ;22,9;14,7;/;/;/;
  Steglitz-Zehlendorf       ;30,0;20,4;/;/;/;
  Tempelhof-Schöneberg      ;29,6;18,5;/;/;/;
  Neukölln                  ;32,2;18,5;/;/;/;
  Treptow-Köpenick          ;30,9;16,5;/;/;/;
  Marzahn-Hellersdorf       ;29,4;16,9;/;/;/;
  Lichtenberg               ;34,4;15,8;/;/;/;
  Reinickendorf             ;24,8;16,9;/;/;/;
_____;;;;;;
Ergebnisse des Mikrozensus - Bevölkerung in Hauptwohnsitzhaushalten — 2022 (Erstergebnis);;;;;;
Falls Personen keine Angabe gemacht haben, wurden sie der „Insgesamt“-Kategorie zugewiesen.;;;;;;
