Bevölkerung in Berlin am 31.12.2022;;;;;;;;;;;
Bezirk ¹;Insgesamt;"Veränderung
zum Vorjahr";Bevölkerungsdichte ²;;;;;;;;
;Anzahl;%;Einwohner/km²;;;;;;;;
;;;;;;;;;;;
Mitte;388.910;3,0;9.871;01;;;;;;;
Friedrichshain-Kreuzberg;283.633;1,1;13.904;02;;;;;;;
Pankow;415.528;2,7;4.026;03;;;;;;;
Charlottenburg-Wilmersdorf;317.538;0,1;4.909;04;;;;;;;
Spandau;248.521;3,3;2.705;05;;;;;;;
Steglitz-Zehlendorf;294.115;0,6;2.868;06;;;;;;;
Tempelhof-Schöneberg;346.799;1,3;6.537;07;;;;;;;
Neukölln;321.319;0,3;7.152;08;;;;;;;
Treptow-Köpenick;285.774;4,6;1.704;09;;;;;;;
Marzahn-Hellersdorf;287.277;4,5;4.647;10;;;;;;;
Lichtenberg;303.241;3,4;5.818;11;;;;;;;
Reinickendorf;262.596;0,8;2.940;12;;;;;;;
Berlin;3.755.251;2,1;4.214;;;;;;;;
;;;;;;;;;;;
1 Ergebnisse für Bezirke geschätzt ;;;;;;;;;;;
2 Berechnung auf Grundlage der Fläche vom 31.12.2021;;;;;;;;;;;
