9  Binnenwanderungen in Berlin 2022 nach Bezirken und Staatsangehörigkeit;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Von Bezirk;Nach Bezirk;;;;;;;;;;;;"Binnen-
fort-
züge";Von Bezirk
;Mitte;Friedrichshain-Kreuzberg;Pankow;Charlottenburg-Wilmersdorf;Spandau;Steglitz-Zehlendorf;Tempelhof-Schöneberg;Neukölln;Treptow-Köpenick;Marzahn-Hellersdorf;Lichtenberg;Reinickendorf;;
;;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
Mitte;–;3.283;4.354;3.618;1.553;1.504;2.529;1.926;1.601;1.046;2.171;2.714;26.299;Mitte
Friedrichshain-Kreuzberg.;2.818;–;2.525;1.605;555;874;1.977;2.672;1.686;871;2.269;621;18.473;Friedrichshain-Kreuzberg.
Pankow;3.014;2.116;–;1.258;634;832;1.221;1.008;1.309;1.346;2.444;1.222;16.404;Pankow
Charlottenburg-Wilmersdorf;3.002;1.333;1.507;–;2.155;2.399;2.414;1.170;946;489;964;1.134;17.513;Charlottenburg-Wilmersdorf
Spandau;846;344;544;1.173;–;561;663;455;490;462;562;778;6.878;Spandau
Steglitz-Zehlendorf;1.190;713;719;1.982;649;–;2.371;814;660;423;621;568;10.710;Steglitz-Zehlendorf
Tempelhof-Schöneberg.;1.881;1.354;1.112;2.517;985;2.854;–;2.050;1.292;662;1.010;811;16.528;Tempelhof-Schöneberg.
Neukölln;1.608;2.322;1.061;1.147;612;1.104;2.431;–;2.171;615;1.080;606;14.757;Neukölln
Treptow-Köpenick;780;803;967;510;373;501;851;1.120;–;1.260;1.468;395;9.028;Treptow-Köpenick
Marzahn-Hellersdorf;498;398;789;306;270;266;371;352;1.089;–;2.182;308;6.829;Marzahn-Hellersdorf
Lichtenberg;1.168;1.219;1.837;573;454;495;743;750;1.605;2.864;–;529;12.237;Lichtenberg
Reinickendorf;2.242;620;2.836;1.057;1.284;1.066;1.178;778;1.308;1.225;1.823;–;15.417;Reinickendorf
;;;;;;;;;;;;;;
Binnenzuzüge;19.047;14.505;18.251;15.746;9.524;12.456;16.749;13.095;14.157;11.263;16.594;9.686;171.073;Binnenzuzüge
Binnenwanderungssaldo;– 7.252;– 3.968;1.847;– 1.767;2.646;1.746;221;– 1.662;5.129;4.434;4.357;– 5.731;–;Binnenwanderungssaldo
;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;
Mitte;–;1.218;2.029;1.355;630;722;1.048;741;581;372;740;1.472;10.908;Mitte
Friedrichshain-Kreuzberg.;1.160;–;1.272;635;241;506;1.089;1.355;983;437;1.234;288;9.200;Friedrichshain-Kreuzberg.
Pankow;1.346;969;–;517;237;374;459;416;621;642;1.249;687;7.517;Pankow
Charlottenburg-Wilmersdorf;1.068;555;590;–;1.043;1.491;1.234;494;269;123;228;567;7.662;Charlottenburg-Wilmersdorf
Spandau;338;122;209;660;–;287;276;199;190;143;187;450;3.061;Spandau
Steglitz-Zehlendorf;521;355;315;1.222;313;–;1.624;470;287;158;157;309;5.731;Steglitz-Zehlendorf
Tempelhof-Schöneberg.;817;682;504;1.326;416;2.002;–;1.228;628;237;374;373;8.587;Tempelhof-Schöneberg.
Neukölln;674;1.160;516;519;252;705;1.557;–;1.366;249;436;297;7.731;Neukölln
Treptow-Köpenick;289;411;469;218;137;233;359;590;–;801;746;158;4.411;Treptow-Köpenick
Marzahn-Hellersdorf;168;156;406;88;104;75;109;161;732;–;1.174;126;3.299;Marzahn-Hellersdorf
Lichtenberg;408;529;980;177;160;182;255;275;932;1.682;–;193;5.773;Lichtenberg
Reinickendorf;929;184;686;445;568;286;303;263;211;207;275;–;4.357;Reinickendorf
;;;;;;;;;;;;;;
Binnenzuzüge;7.718;6.341;7.976;7.162;4.101;6.863;8.313;6.192;6.800;5.051;6.800;4.920;78.237;Binnenzuzüge
Binnenwanderungssaldo;– 3.190;– 2.859;459;– 500;1.040;1.132;– 274;– 1.539;2.389;1.752;1.027;563;–;Binnenwanderungssaldo
;;;;;;;;;;;;;;
;Ausländer;;;;;;;;;;;;;
Mitte;–;2.065;2.325;2.263;923;782;1.481;1.185;1.020;674;1.431;1.242;15.391;Mitte
Friedrichshain-Kreuzberg.;1.658;–;1.253;970;314;368;888;1.317;703;434;1.035;333;9.273;Friedrichshain-Kreuzberg.
Pankow;1.668;1.147;–;741;397;458;762;592;688;704;1.195;535;8.887;Pankow
Charlottenburg-Wilmersdorf;1.934;778;917;–;1.112;908;1.180;676;677;366;736;567;9.851;Charlottenburg-Wilmersdorf
Spandau;508;222;335;513;–;274;387;256;300;319;375;328;3.817;Spandau
Steglitz-Zehlendorf;669;358;404;760;336;–;747;344;373;265;464;259;4.979;Steglitz-Zehlendorf
