"3  Eingebürgerte Personen in Berlin 2022 
    nach Wohnsitz zum Zeitpunkt der Einbürgerung, Art und Rechtsgründen der Einbürgerung";;;;;;;;;
;;;;;;;;;
"Wohnsitz zum
Zeitpunkt der
Einbürgerung";"Eingebürgerte
Personen
insgesamt";Einbürgerung nach …;;;;;;;
;;Anspruch;Ermessen;"§ 8
StAG";"§ 9
StAG";§ 10 Abs.1 StAG;§ 10 Abs.2 StAG;§ 10 Abs.3 StAG;
;;;;;;;;;
Mitte ;1.279;1.119;160;38;62;703;122;333;
Friedrichshain-Kreuzberg;1.400;1.213;187;49;62;804;138;333;
Pankow;432;355;77;21;24;257;56;74;
Charlottenburg-Wilmersdorf;1.234;1.024;210;56;63;742;154;211;
Spandau;617;474;143;5;24;288;138;159;
Steglitz-Zehlendorf;264;220;44;11;28;163;33;29;
Tempelhof-Schöneberg;1.106;968;138;22;38;675;116;252;
Neukölln;1.023;895;128;34;52;576;94;251;
Treptow-Köpenick;313;271;42;6;28;152;36;91;
Marzahn-Hellersdorf;293;251;42;–;11;179;42;60;
Lichtenberg;419;332;87;5;16;210;82;106;
Reinickendorf;495;420;75;8;34;339;67;44;
Berlin  ;8.875;7.542;1.333;255;442;5.088;1.078;1.943;
