;Stimmart;Adresse;Bezirksnummer;Bezirksname;Abstimmungsbezirk;Abstimmungsbezirksart;Briefabstimmungsbezirk;Abgeordnetenhauswahlkreis;Bundestagswahlkreis;OstWest;Abstimmungsberechtigte insgesamt;Abstimmungsberechtigte A1;Abstimmungsberechtigte A2;Abstimmungsberechtigte A3;Teilnehmende;Teilnehmende B1;Ungültige Stimmen;Gültige Stimmen;Stimmabgabe Volksentscheid: Ja;Stimmabgabe Volksentscheid: Nein;aufn;Group 2
;Stimme;02W101;02;Friedrichshain-Kreuzberg;101;W;021A;01;83;W;1059;915;144;0;173;3;0;173;110;63;;Group 1
;Stimme;02W102;02;Friedrichshain-Kreuzberg;102;W;021B;01;83;W;1208;1071;137;0;148;1;3;145;93;52;;Group 1
;Stimme;02W103;02;Friedrichshain-Kreuzberg;103;W;021C;01;83;W;1029;939;90;0;95;1;0;95;52;43;;Group 1
;Stimme;02W104;02;Friedrichshain-Kreuzberg;104;W;021D;01;83;W;704;609;95;0;96;3;1;95;59;36;;Group 1
;Stimme;02W105;02;Friedrichshain-Kreuzberg;105;W;021E;01;83;W;1015;903;112;0;145;8;0;145;85;60;;Group 1
;Stimme;02W106;02;Friedrichshain-Kreuzberg;106;W;021F;01;83;W;1472;1272;200;0;175;3;1;174;121;53;;Group 1
;Stimme;02W107;02;Friedrichshain-Kreuzberg;107;W;021G;01;83;W;610;499;111;0;138;3;1;137;106;31;;Group 1
;Stimme;02W108;02;Friedrichshain-Kreuzberg;108;W;021G;01;83;W;762;512;250;0;115;6;3;112;80;32;;Group 1
;Stimme;02W109;02;Friedrichshain-Kreuzberg;109;W;021H;01;83;W;1182;916;266;0;274;3;1;273;220;53;;Group 1
;Stimme;02W110;02;Friedrichshain-Kreuzberg;110;W;021J;01;83;W;1088;814;274;0;219;4;0;219;181;38;;Group 1
;Stimme;02W111;02;Friedrichshain-Kreuzberg;111;W;021K;01;83;W;1121;882;239;0;245;3;0;245;211;34;;Group 1
