"4  Wanderungen über die Bezirks- und Landesgrenzen von Berlin im September 2023¹ 
    nach Bezirken, Staatsangehörigkeit und Monaten";;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;
"Bezirk
—
Staatsangehörigkeit
—
Monat";Zuzüge;;Fortzüge;;"Zuzugs- bzw. Fortzugs-
überschuss (–)";;;;;;;;;;;;;;
;"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
gesamt";durch;;;;;;;;;;;;;
;;;;;;Binnen-;Außen-;;;;;;;;;;;;
;;;;;;wanderung;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;;;;;;
Mitte;4.362;2.788;3.931;1.763;431;– 594;1025;;;;;;;;;;;;
Friedrichshain-Kreuzberg;3.366;1.848;2.972;1.432;394;– 22;416;;;;;;;;;;;;
Pankow;3.376;1.794;3.063;1.487;313;6;307;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;3.208;1.916;2.935;1.478;273;– 165;438;;;;;;;;;;;;
Spandau;1.857;1.070;1.510;878;347;155;192;;;;;;;;;;;;
Steglitz-Zehlendorf;2.456;1.268;2.095;1.103;361;196;165;;;;;;;;;;;;
Tempelhof-Schöneberg;2.975;1.486;2.637;1.287;338;139;199;;;;;;;;;;;;
Neukölln;2.506;1.354;2.413;1.095;93;– 166;259;;;;;;;;;;;;
Treptow-Köpenick;2.700;1.311;1.887;1.095;813;597;216;;;;;;;;;;;;
Marzahn-Hellersdorf;1.879;975;1.490;849;389;263;126;;;;;;;;;;;;
Lichtenberg;2.688;1.312;2.119;1.128;569;385;184;;;;;;;;;;;;
Reinickendorf;2.781;1.933;2.530;888;251;– 794;1045;;;;;;;;;;;;
Berlin;34.154;19.055;29.582;14.483;4.572;–;4.572;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Ausländer;;;;;;;;;;;;;;;;;;
Mitte;3.006;2.041;2.320;1.038;686;– 317;1003;;;;;;;;;;;;
Friedrichshain-Kreuzberg;2.309;1.336;1.629;806;680;150;530;;;;;;;;;;;;
Pankow;1.994;1.087;1.582;621;412;– 54;466;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;2.087;1.338;1.633;807;454;– 77;531;;;;;;;;;;;;
Spandau;1.257;762;757;386;500;124;376;;;;;;;;;;;;
Steglitz-Zehlendorf;1.379;791;956;437;423;69;354;;;;;;;;;;;;
Tempelhof-Schöneberg;1.823;962;1.349;670;474;182;292;;;;;;;;;;;;
Neukölln;1.590;963;1.310;594;280;– 89;369;;;;;;;;;;;;
Treptow-Köpenick;1.615;811;911;476;704;369;335;;;;;;;;;;;;
Marzahn-Hellersdorf;1.250;693;800;411;450;168;282;;;;;;;;;;;;
Lichtenberg;1.844;946;1.142;579;702;335;367;;;;;;;;;;;;
Reinickendorf;2.026;1.607;1.674;395;352;– 860;1212;;;;;;;;;;;;
Berlin;22.180;13.337;16.063;7.220;6.117;–;6.117;;;;;;;;;;;;
;;;;;;–;;;;;;;;;;;;;
;Monate;;;;;;;;;;;;;;;;;;
Januar;29.020;16.006;24.150;11.136;4.870;–;4.870;;;;;;;;;;;;
Februar;28.141;14.533;24.661;11.053;3.480;–;3.480;;;;;;;;;;;;
März;28.346;14.734;25.359;11.747;2.987;–;2.987;;;;;;;;;;;;
April;28.403;13.875;26.405;11.877;1.998;–;1.998;;;;;;;;;;;;
Mai;29.534;14.718;27.238;12.422;2.296;–;2.296;;;;;;;;;;;;
Juni;31.412;15.416;28.735;12.739;2.677;–;2.677;;;;;;;;;;;;
Juli;31.018;15.672;31.159;15.813;– 141;–;– 141;;;;;;;;;;;;
August;33.962;17.326;33.652;17.016;310;–;310;;;;;;;;;;;;
September;34.154;19.055;29.582;14.483;4.572;–;4.572;;;;;;;;;;;;
Oktober;;;;;;;;;;;;;;;;;;;
November;;;;;;;;;;;;;;;;;;;
Dezember;;;;;;;;;;;;;;;;;;;
_____;;;;;;;;;;;;;;;;;;;
"1 ermittelt aus den im Berichtsmonat gemeldeten Zu- und Fortzügen; vorläufige Angaben";;;;;;;;;;;;;;;;;;;
